noise,outlier_ratio,p,model,repeat,train_mse,train_mae,test_mse,test_mae,best_epoch,seconds
gaussian,0.0,10,NAM,0,0.011241089552640915,0.08471611142158508,0.013694770634174347,0.09594487398862839,50,30.8
gaussian,0.0,10,ML-NAM,0,0.011621851474046707,0.0861407220363617,0.01404334232211113,0.09600895643234253,48,7.4
gaussian,0.0,10,ML-NAM+,0,0.011715127155184746,0.08656620979309082,0.014059949666261673,0.0959671288728714,48,10.6
gaussian,0.0,10,NAM,1,0.011912675574421883,0.08721522986888885,0.013161484152078629,0.08793073147535324,8,3.3
gaussian,0.0,10,ML-NAM,1,0.011136436834931374,0.08452221751213074,0.012420402839779854,0.08641784638166428,14,4.2
gaussian,0.0,10,ML-NAM+,1,0.011302899569272995,0.08504239469766617,0.012292263098061085,0.08502008020877838,14,4.5
gaussian,0.1,10,NAM,0,0.051062293350696564,0.16797129809856415,0.03713654726743698,0.15140551328659058,11,3.6
gaussian,0.1,10,ML-NAM,0,0.051949068903923035,0.15616536140441895,0.033469751477241516,0.13245654106140137,15,6.0
gaussian,0.1,10,ML-NAM+,0,0.051980793476104736,0.156633198261261,0.033541373908519745,0.13297678530216217,15,9.2
gaussian,0.1,10,NAM,1,0.04988829046487808,0.1398349404335022,0.08449691534042358,0.18081769347190857,6,3.2
gaussian,0.1,10,ML-NAM,1,0.05182269960641861,0.13806770741939545,0.08442549407482147,0.17655102908611298,18,3.9
gaussian,0.1,10,ML-NAM+,1,0.0519988052546978,0.14371521770954132,0.0839417427778244,0.18141484260559082,18,5.4
mixture,0.0,10,NAM,0,0.010832905769348145,0.08239495754241943,0.011723717674612999,0.08517785370349884,45,5.7
mixture,0.0,10,ML-NAM,0,0.011097832582890987,0.08385150134563446,0.012035591527819633,0.08758251368999481,20,4.1
mixture,0.0,10,ML-NAM+,0,0.011038925498723984,0.083641916513443,0.012177280150353909,0.08853248506784439,20,6.1
mixture,0.0,10,NAM,1,0.012916368432343006,0.09082653373479843,0.01191081665456295,0.08465966582298279,38,6.5
mixture,0.0,10,ML-NAM,1,0.012887867167592049,0.09082195162773132,0.011875573545694351,0.08526076376438141,26,5.3
mixture,0.0,10,ML-NAM+,1,0.01304164994508028,0.09130869060754776,0.012018511071801186,0.08567993342876434,26,8.9
mixture,0.1,10,NAM,0,0.05715453624725342,0.14538855850696564,0.06002907454967499,0.15269087255001068,1,2.5
mixture,0.1,10,ML-NAM,0,0.05898134782910347,0.12021178752183914,0.06142226234078407,0.12650004029273987,29,12.6
mixture,0.1,10,ML-NAM+,0,0.05873646214604378,0.12373606860637665,0.06107519567012787,0.12984314560890198,29,22.6
mixture,0.1,10,NAM,1,0.04896199703216553,0.15604586899280548,0.07381215691566467,0.18373745679855347,1,2.1
mixture,0.1,10,ML-NAM,1,0.04882030189037323,0.14951512217521667,0.0733734667301178,0.17673496901988983,1,2.3
mixture,0.1,10,ML-NAM+,1,0.04881717264652252,0.14947335422039032,0.0733741819858551,0.17669764161109924,1,3.0
studentt,0.0,10,NAM,0,0.007336817681789398,0.06008760631084442,0.008066258393228054,0.05998436361551285,13,3.9
studentt,0.0,10,ML-NAM,0,0.00743456743657589,0.05939712002873421,0.008425762876868248,0.06119460612535477,12,3.3
studentt,0.0,10,ML-NAM+,0,0.007425839547067881,0.05948290973901749,0.008387486450374126,0.060802724212408066,12,4.0
studentt,0.0,10,NAM,1,0.0041733477264642715,0.044030219316482544,0.0037037255242466927,0.04169870913028717,5,2.3
studentt,0.0,10,ML-NAM,1,0.004180580377578735,0.04382578283548355,0.0038584917783737183,0.04139222949743271,10,3.3
studentt,0.0,10,ML-NAM+,1,0.004194166976958513,0.04407685995101929,0.0038864228408783674,0.04152004420757294,10,8.5
studentt,0.1,10,NAM,0,0.049976199865341187,0.1399916708469391,0.03870287537574768,0.12137013673782349,29,9.7
studentt,0.1,10,ML-NAM,0,0.0537523552775383,0.1486636847257614,0.037883251905441284,0.12692448496818542,19,8.6
studentt,0.1,10,ML-NAM+,0,0.053680215030908585,0.14586298167705536,0.03760993480682373,0.1238483190536499,19,7.3
studentt,0.1,10,NAM,1,0.044789694249629974,0.12400519847869873,0.04989361763000488,0.12966309487819672,3,2.5
studentt,0.1,10,ML-NAM,1,0.04625719040632248,0.11552128195762634,0.05108678713440895,0.12044787406921387,29,7.0
studentt,0.1,10,ML-NAM+,1,0.04630009084939957,0.11685042083263397,0.05128926783800125,0.12229420244693756,45,17.3
